Order ID,Order Date,CustomerName,State,City
B-20000,2/8/2021,Pooja Sharma,Rajasthan,Jodhpur
B-20001,3/4/2019,Amit Malhotra,Uttar Pradesh,Varanasi
B-20002,28-06-2018,Tushar Bose,Uttar Pradesh,Mathura
B-20003,24-03-2019,Sanjay Mehta,Punjab,Jalandhar
B-20004,12/2/2019,Jyoti Bose,Maharashtra,Nagpur
B-20005,14-01-2018,Kiran Pandey,Gujarat,Vadodara
B-20006,15-11-2018,Neha Mishra,Uttar Pradesh,Kanpur
B-20007,18-07-2018,Gopal Yadav,Punjab,Amritsar
B-20008,29-07-2020,Jyoti Kumar,Goa,Margao
B-20009,11/6/2018,Sunil Joshi,Karnataka,Hubli
B-20010,11/1/2020,Parvati Nair,Haryana,Gurugram
B-20011,16-09-2021,Sanjay Joshi,Goa,Panaji
B-20012,26-07-2018,Madan Iyer,Gujarat,Vadodara
B-20013,30-11-2018,Vishakha Yadav,Maharashtra,Nagpur
B-20014,8/12/2021,Suresh Desai,Kerala,Kozhikode
B-20015,17-05-2019,Kiran Das,Andhra Pradesh,Tirupati
B-20016,10/11/2021,Sunil Reddy,Haryana,Gurugram
B-20017,15-04-2019,Priya Mishra,Andhra Pradesh,Visakhapatnam
B-20018,9/3/2019,Parvati Pandey,Madhya Pradesh,Jabalpur
B-20019,21-03-2020,Ravi Gupta,Maharashtra,Pune
B-20020,23-02-2021,Jyoti Iyer,Rajasthan,Kota
B-20021,10/4/2021,Rohit Yadav,Maharashtra,Pune
B-20022,9/11/2020,Dinesh Singh,Rajasthan,Jaipur
B-20023,10/11/2018,Kiran Tiwari,Gujarat,Ahmedabad
B-20024,28-02-2020,Madan Desai,Sikkim,Namchi
B-20025,7/2/2021,Aarav Tiwari,Rajasthan,Udaipur
B-20026,5/8/2021,Madhav Kumar,Madhya Pradesh,Bhopal
B-20027,18-07-2020,Aarav Malhotra,Tamil Nadu,Coimbatore
B-20028,22-10-2020,Sunita Mehta,West Bengal,Siliguri
B-20029,4/9/2019,Lalita Desai,Maharashtra,Nagpur
B-20030,27-11-2018,Jyoti Mehta,West Bengal,Siliguri
B-20031,26-10-2019,Dinesh Sharma,Delhi,New Delhi
B-20032,22-09-2019,Kavita Verma,Maharashtra,Mumbai
B-20033,25-06-2018,Dinesh Singh,Goa,Panaji
B-20034,20-09-2018,Shalini Shah,Delhi,Dwarka
B-20035,27-05-2021,Arun Nair,West Bengal,Siliguri
B-20036,13-11-2021,Rajesh Pandey,Madhya Pradesh,Gwalior
B-20037,16-06-2020,Nikhil Das,Delhi,Delhi
B-20038,12/5/2018,Madhav Sharma,Punjab,Amritsar
B-20039,20-04-2021,Sanjay Sharma,Uttar Pradesh,Mathura
B-20040,14-04-2019,Suresh Verma,Tamil Nadu,Chennai
B-20041,18-11-2020,Kavita Iyer,Nagaland,Kohima
B-20042,9/1/2021,Amit Malhotra,Jammu and Kashmir,Jammu
B-20043,13-05-2019,Shalini Bose,Delhi,Delhi
B-20044,11/9/2021,Arun Yadav,Gujarat,Rajkot
B-20045,21-04-2018,Vikram Verma,Andhra Pradesh,Vijayawada
B-20046,12/8/2018,Kavita Nair,Delhi,New Delhi
B-20047,15-10-2018,Arun Patel,Maharashtra,Pune
B-20048,4/6/2018,Geeta Shah,Uttar Pradesh,Varanasi
B-20049,31-01-2018,Meena Reddy,Delhi,New Delhi
B-20050,12/9/2020,Neha Agarwal,West Bengal,Kolkata
B-20051,16-02-2020,Aarav Agarwal,Maharashtra,Nashik
B-20052,8/8/2019,Arun Pandey,Jammu and Kashmir,Jammu
B-20053,14-11-2018,Rajesh Joshi,Maharashtra,Mumbai
B-20054,1/4/2021,Jyoti Verma,Rajasthan,Jaipur
B-20055,13-04-2018,Tushar Chopra,Bihar,Muzaffarpur
B-20056,19-11-2018,Anita Mehta,Uttar Pradesh,Lucknow
B-20057,21-05-2018,Nandita Singh,Haryana,Gurugram
B-20058,6/4/2020,Pooja Pillai,Maharashtra,Mumbai
B-20059,22-06-2021,Meena Bose,Kerala,Kozhikode
B-20060,6/12/2020,Harivansh Iyer,Maharashtra,Nagpur
B-20061,4/5/2019,Manoj Agarwal,Delhi,Dwarka
B-20062,7/9/2019,Ravi Mishra,West Bengal,Kolkata
B-20063,20-01-2018,Ravi Desai,Sikkim,Gangtok
B-20064,31-05-2018,Jyoti Nair,Bihar,Patna
B-20065,16-12-2019,Suresh Reddy,Andhra Pradesh,Visakhapatnam
B-20066,16-06-2020,Jyoti Pandey,Madhya Pradesh,Indore
B-20067,29-09-2021,Sunil Joshi,Jammu and Kashmir,Srinagar
B-20068,3/10/2018,Manoj Kumar,Tamil Nadu,Madurai
B-20069,7/2/2021,Deepa Iyer,Maharashtra,Pune
B-20070,4/12/2019,Neha Tiwari,Kerala,Thiruvananthapuram
B-20071,1/11/2020,Dinesh Iyer,West Bengal,Kolkata
B-20072,9/7/2018,Arun Iyer,Uttar Pradesh,Agra
B-20073,25-09-2018,Manoj Patel,Rajasthan,Kota
B-20074,22-02-2021,Aarav Kumar,Uttar Pradesh,Lucknow
B-20075,22-01-2021,Priya Yadav,Punjab,Amritsar
B-20076,30-05-2020,Amit Verma,Madhya Pradesh,Indore
B-20077,3/1/2020,Neha Tiwari,Maharashtra,Mumbai
B-20078,26-12-2019,Sunil Bose,Goa,Panaji
B-20079,30-04-2019,Kiran Patel,Tamil Nadu,Chennai
B-20080,3/1/2019,Madhav Bose,Karnataka,Hubli
B-20081,24-05-2019,Rekha Patel,Karnataka,Bengaluru
B-20082,23-02-2020,Priya Chopra,Maharashtra,Nashik
B-20083,18-12-2019,Asha Reddy,Maharashtra,Pune
B-20084,27-03-2020,Madhav Iyer,Tamil Nadu,Coimbatore
B-20085,21-12-2019,Lalita Agarwal,Haryana,Hisar
B-20086,10/11/2019,Rahul Kumar,Tamil Nadu,Coimbatore
B-20087,1/1/2019,Tushar Iyer,Uttar Pradesh,Varanasi
B-20088,8/6/2020,Gopal Malhotra,Karnataka,Mysuru
B-20089,26-05-2021,Lalita Kumar,Andhra Pradesh,Tirupati
B-20090,25-01-2019,Manoj Verma,Haryana,Gurugram
B-20091,30-11-2020,Jyoti Tiwari,Rajasthan,Jodhpur
B-20092,16-01-2020,Arun Singh,Jammu and Kashmir,Jammu
B-20093,30-06-2021,Harivansh Tiwari,Tamil Nadu,Madurai
B-20094,8/9/2019,Lalita Joshi,Nagaland,Dimapur
B-20095,4/4/2020,Vikas Shah,Delhi,New Delhi
B-20096,23-09-2021,Madan Tiwari,Rajasthan,Jodhpur
B-20097,14-06-2021,Parvati Joshi,Andhra Pradesh,Visakhapatnam
B-20098,15-09-2019,Vikas Nair,Gujarat,Vadodara
B-20099,10/8/2020,Geeta Das,Haryana,Hisar
B-20100,27-08-2020,Kiran Tiwari,Uttar Pradesh,Varanasi
B-20101,21-09-2021,Gaurav Mishra,Uttar Pradesh,Lucknow
B-20102,9/10/2021,Asha Reddy,Karnataka,Bengaluru
B-20103,20-02-2018,Priya Reddy,Goa,Panaji
B-20104,21-07-2020,Sneha Mohan,Punjab,Jalandhar
B-20105,27-11-2021,Madan Chopra,Andhra Pradesh,Visakhapatnam
B-20106,5/9/2021,Aarav Kumar,Rajasthan,Jodhpur
B-20107,27-12-2018,Nikhil Das,Uttar Pradesh,Lucknow
B-20108,6/9/2018,Ravi Gupta,Karnataka,Hubli
B-20109,23-12-2020,Sunil Desai,Madhya Pradesh,Jabalpur
B-20110,8/6/2021,Lalita Bose,Karnataka,Hubli
B-20111,2/7/2020,Kiran Malhotra,Tamil Nadu,Coimbatore
B-20112,15-06-2019,Kavita Mohan,Maharashtra,Nashik
B-20113,7/7/2021,Kavita Iyer,Gujarat,Vadodara
B-20114,26-04-2019,Rekha Mishra,Madhya Pradesh,Indore
B-20115,11/10/2018,Deepa Reddy,Andhra Pradesh,Visakhapatnam
B-20116,17-12-2021,Neha Singh,Gujarat,Vadodara
B-20117,16-01-2021,Ravi Bose,Uttar Pradesh,Kanpur
B-20118,8/3/2020,Tushar Pandey,Uttar Pradesh,Varanasi
B-20119,19-02-2020,Shalini Sharma,Jammu and Kashmir,Jammu
B-20120,9/3/2020,Sneha Shah,Rajasthan,Jodhpur
B-20121,26-09-2020,Sanjay Iyer,Gujarat,Ahmedabad
B-20122,7/3/2020,Madhav Tiwari,Haryana,Faridabad
B-20123,5/12/2018,Ravi Gupta,Goa,Panaji
B-20124,17-03-2020,Tushar Pillai,Nagaland,Kohima
B-20125,9/8/2021,Arun Gupta,Tamil Nadu,Chennai
B-20126,13-04-2018,Manoj Agarwal,Madhya Pradesh,Jabalpur
B-20127,1/11/2019,Madhav Agarwal,Maharashtra,Nashik
B-20128,1/6/2019,Meena Chopra,Uttar Pradesh,Varanasi
B-20129,17-04-2018,Gopal Reddy,Kerala,Kozhikode
B-20130,24-03-2018,Rahul Reddy,Maharashtra,Mumbai
B-20131,26-06-2021,Deepa Reddy,Delhi,Dwarka
B-20132,23-08-2018,Parvati Nair,Gujarat,Vadodara
B-20133,26-01-2020,Kiran Desai,Punjab,Jalandhar
B-20134,23-08-2018,Kiran Joshi,Uttar Pradesh,Mathura
B-20135,1/10/2019,Parvati Tiwari,West Bengal,Howrah
B-20136,23-03-2020,Rajesh Singh,Punjab,Jalandhar
B-20137,13-05-2019,Vikram Pandey,Rajasthan,Jaipur
B-20138,5/3/2021,Priya Yadav,Bihar,Muzaffarpur
B-20139,29-01-2020,Suresh Mehta,Kerala,Kochi
B-20140,10/5/2020,Dinesh Kumar,Gujarat,Vadodara
B-20141,25-07-2021,Ravi Pandey,Delhi,Delhi
B-20142,4/12/2020,Rekha Desai,Karnataka,Hubli
B-20143,17-09-2020,Ravi Bose,Karnataka,Hubli
B-20144,4/7/2019,Harivansh Reddy,Karnataka,Bengaluru
B-20145,26-07-2019,Geeta Reddy,Rajasthan,Kota
B-20146,20-11-2019,Rahul Chopra,Tamil Nadu,Chennai
B-20147,25-09-2020,Neha Yadav,Karnataka,Mysuru
B-20148,27-07-2019,Nandita Pandey,Tamil Nadu,Madurai
B-20149,21-01-2018,Nikhil Nair,Uttar Pradesh,Kanpur
B-20150,27-09-2020,Sunil Reddy,Haryana,Hisar
B-20151,28-12-2021,Dinesh Das,Karnataka,Bengaluru
B-20152,26-08-2019,Sanjay Agarwal,Haryana,Faridabad
B-20153,21-09-2021,Tushar Yadav,Gujarat,Vadodara
B-20154,21-05-2020,Sunil Mishra,Madhya Pradesh,Jabalpur
B-20155,9/7/2019,Asha Iyer,Maharashtra,Pune
B-20156,9/10/2019,Pooja Malhotra,Himachal Pradesh,Dharamsala
B-20157,15-01-2019,Rajesh Nair,Rajasthan,Udaipur
B-20158,22-04-2021,Nikhil Desai,Maharashtra,Mumbai
B-20159,2/2/2019,Vikas Reddy,Andhra Pradesh,Vijayawada
B-20160,29-01-2018,Jyoti Gupta,Maharashtra,Mumbai
B-20161,7/2/2021,Vikas Pandey,Jammu and Kashmir,Jammu
B-20162,30-07-2018,Aarav Pillai,Maharashtra,Nashik
B-20163,21-06-2020,Madhav Patel,Goa,Margao
B-20164,5/9/2020,Pooja Singh,Andhra Pradesh,Visakhapatnam
B-20165,27-03-2021,Anita Gupta,Delhi,Dwarka
B-20166,15-09-2019,Meena Reddy,Delhi,New Delhi
B-20167,26-05-2021,Nandita Desai,Maharashtra,Nashik
B-20168,11/7/2020,Geeta Joshi,Tamil Nadu,Coimbatore
B-20169,18-09-2019,Parvati Desai,Uttar Pradesh,Mathura
B-20170,2/3/2019,Neha Iyer,Nagaland,Kohima
B-20171,7/5/2019,Sunita Shah,Uttar Pradesh,Mathura
B-20172,16-04-2020,Geeta Pandey,Punjab,Ludhiana
B-20173,8/3/2018,Sanjay Joshi,Haryana,Hisar
B-20174,18-07-2020,Suresh Tiwari,Maharashtra,Nagpur
B-20175,4/7/2021,Tushar Tiwari,Karnataka,Bengaluru
B-20176,20-05-2020,Pooja Shah,Maharashtra,Pune
B-20177,29-06-2019,Deepa Singh,Uttar Pradesh,Agra
B-20178,3/5/2021,Parvati Joshi,Gujarat,Rajkot
B-20179,11/11/2021,Asha Pandey,Andhra Pradesh,Vijayawada
B-20180,21-10-2020,Jyoti Chopra,Gujarat,Ahmedabad
B-20181,3/6/2020,Harivansh Desai,Maharashtra,Mumbai
B-20182,14-04-2019,Parvati Pillai,Jammu and Kashmir,Jammu
B-20183,26-03-2021,Priya Patel,Gujarat,Rajkot
B-20184,24-07-2019,Sunita Pillai,Gujarat,Rajkot
B-20185,6/7/2018,Shalini Yadav,Andhra Pradesh,Vijayawada
B-20186,4/10/2021,Vikram Patel,Madhya Pradesh,Jabalpur
B-20187,14-08-2019,Rohit Shah,Uttar Pradesh,Mathura
B-20188,7/10/2019,Manoj Mishra,Delhi,New Delhi
B-20189,19-11-2020,Aarav Tiwari,Tamil Nadu,Coimbatore
B-20190,26-04-2020,Anita Nair,Bihar,Muzaffarpur
B-20191,17-10-2020,Geeta Verma,Maharashtra,Pune
B-20192,13-08-2019,Geeta Pandey,Bihar,Patna
B-20193,14-07-2021,Nandita Reddy,Haryana,Faridabad
B-20194,2/2/2021,Aarav Shah,Andhra Pradesh,Visakhapatnam
B-20195,21-08-2018,Ravi Kumar,Kerala,Kochi
B-20196,17-10-2020,Vikas Mehta,Haryana,Faridabad
B-20197,15-09-2020,Shalini Reddy,Gujarat,Surat
B-20198,25-02-2020,Rajesh Desai,Bihar,Patna
B-20199,23-05-2018,Rekha Bose,Madhya Pradesh,Gwalior
B-20200,6/1/2018,Vikas Malhotra,Madhya Pradesh,Jabalpur
